product_id,product_name,brand_name,category_name,sub_category_name,slug,thumb_image,qty,sku,price,offer_price,offer_start_price,offer_end_price,product_type,status,is_approved,short_description,long_description,seo_title,seo_description,created_at
5,nestle ready meal bento box,Nestle,Grocery & Food,Instant Food,nestle-ready-meal-bento-box,uploads/2026-03-09_1773056017_69aeb0119a74a_nestle-ready-meal-bento-box.jpeg,120,nes-gro-bento-001,7,6,2026-03-01,2026-03-18,top,1,1,instant foodconvenient ready meal with balanced flavor and quick preparation for busy days.,"nestle ready meal bento boxthis ready-to-eat meal offers a practical food option for lunch breaks, travel, and quick home dining. it is easy to prepare and designed for convenience without sacrificing taste.ideal for students, office workers, and customers looking for a fast and satisfying meal solution.",nestle ready meal bento box,shop nestle ready meal bento box for a quick and convenient instant food option.,2024-03-13 11:46:12
6,nike summer cotton t-shirt,Nike,Fashion,T-shirt,nike-summer-cotton-t-shirt,uploads/2026-03-09_1773057158_69aeb486e0a5d_nike summer cotton t-shirt-2.jpg,120,nik-fas-tsh-001,25,20,2026-03-02,2026-03-20,featured,1,1,summer t-shirtbreathable cotton t-shirt made for casual daily wear and warm weather comfort.,"nike summer cotton t-shirtthis lightweight cotton t-shirt features a soft texture, clean everyday design, and comfortable regular fit. it is suitable for daily outfits, weekend activities, and casual streetwear styling.easy to pair with jeans, shorts, and sneakers for a relaxed modern look.",nike summer cotton t-shirt,shop nike summer cotton t-shirt with breathable fabric and casual everyday comfort.,2024-03-16 09:34:13
7,selons knit sweater,Selons,Fashion,Hoodie & Sweater,selons-knit-sweater,uploads/2026-03-09_1773057566_69aeb61e8c1db_selons knit sweater.jpg,90,sel-fas-swt-001,35,29,2026-03-01,2026-03-19,new_arrival,1,1,"knit sweatersoft knit sweater designed for comfort, layering, and everyday cold weather style.","selons knit sweaterthis sweater is made for comfortable seasonal wear with a warm fabric feel and simple versatile design. it works well for casual outfits, daily commuting, and layered styling during cooler days.pair it with jeans, trousers, or sneakers for a clean relaxed look.",selons knit sweater,shop selons knit sweater with soft fabric and comfortable everyday fit.,2024-03-16 09:37:00
9,samsung galaxy tab s9 5g,Samsung,Mobile Phones,Tablet,samsung-galaxy-tab-s9-5g,uploads/2026-03-09_1773057876_69aeb754dc20d_samsung galaxy tab s9 5g.webp,35,sam-mob-tabs9-001,699,649,2026-03-01,2026-03-18,top,1,1,"tablethigh performance tablet designed for entertainment, study, and productivity on the go.","samsung galaxy tab s9 5gthis tablet combines strong everyday performance with a portable design suitable for media viewing, note taking, work tasks, and online learning. it offers a large display, stable connectivity, and smooth user experience.ideal for users who want a flexible device between a smartphone and a laptop.",samsung galaxy tab s9 5g,"shop samsung galaxy tab s9 5g for entertainment, study, and portable productivity.",2024-03-16 09:43:13
10,xiaomi y68 smart watch,Xiaomi,Electronics,Smart Watch,xiaomi-y68-smart-watch,uploads/2026-03-09_1773064221_69aed01d51bc1_xiaomi y68 smart watch.jpg,70,xia-ele-smw-001,39,34,2026-03-01,2026-03-20,featured,1,1,"smart watchaffordable smart watch with fitness tracking, notifications, and lightweight daily comfort.","xiaomi y68 smart watchthis smart watch is designed for users who want essential health tracking, message alerts, and everyday wearable convenience. it offers a compact design suitable for casual use, basic activity monitoring, and daily routine support.a practical option for customers looking for entry level smart wearable features at a friendly price.",xiaomi y68 smart watch,shop xiaomi y68 smart watch with fitness tracking and smart daily notifications.,2024-03-16 09:45:28
11,sony nintendo switch gaming console,Sony,Electronics,Gaming console,sony-nintendo-switch-gaming-console,uploads/2026-03-09_1773064333_69aed08d72432_sony nintendo switch gaming console.jpg,30,son-ele-con-001,299,279,2026-03-01,2026-03-15,best,1,1,"gaming consoleportable gaming console built for entertainment, multiplayer fun, and smooth casual gameplay.","sony nintendo switch gaming consolethis gaming console is designed for flexible home and portable entertainment. it supports enjoyable gameplay, responsive controls, and a comfortable experience for casual and family gaming sessions.a great option for players looking for convenient gaming performance and accessible entertainment features.",sony nintendo switch gaming console,shop sony nintendo switch gaming console for portable entertainment and smooth gameplay.,2024-03-16 09:49:54
12,asus mechanical gaming keyboard,Asus,Computers & Laptops,Keyboard,asus-mechanical-gaming-keyboard,uploads/2026-03-09_1773064577_69aed1813600b_asus mechanical gaming keyboard.jpg,65,asu-cmp-key-001,89,79,2026-03-02,2026-03-20,featured,1,1,gaming keyboardresponsive mechanical keyboard designed for gaming accuracy and comfortable typing.,"asus mechanical gaming keyboardthis keyboard offers responsive key feel, stable performance, and a layout suitable for gaming sessions, office use, and everyday computer work. it provides comfortable input and dependable control for a smooth user experience.recommended for players and users who want accuracy, durability, and functional desktop performance.",asus mechanical gaming keyboard,shop asus mechanical gaming keyboard with responsive keys and smooth desktop performance.,2024-03-16 09:52:17
13,asus precision gaming mouse,Asus,Computers & Laptops,Mouse,asus-precision-gaming-mouse,uploads/2026-03-09_1773064704_69aed20055243_asus precision gaming mouse.webp,80,asu-cmp-mse-001,49,42,2026-03-02,2026-03-18,top,1,1,gaming mousehigh precision gaming mouse with smooth tracking and comfortable ergonomic grip.,"asus precision gaming mousethis gaming mouse is built for accurate movement, smooth cursor control, and everyday comfort during long sessions. it supports work, browsing, and gaming with a balanced ergonomic shape and dependable response.a practical accessory for users who want performance and comfort in one desktop device.",asus precision gaming mouse,shop asus precision gaming mouse with smooth tracking and comfortable ergonomic design.,2024-03-16 09:55:17
17,under armour hoodie with cap,Under Armour,Fashion,Hoodie & Sweater,under-armour-hoodie-with-cap,uploads/2026-03-09_1773065490_69aed5126c1fc_under armour hoodie with cap.jpg,85,uar-fas-hod-001,42,36,2026-03-01,2026-03-20,top,1,1,"hoodiecomfortable hoodie with cap design for casual wear, layering, and cool weather comfort.","under armour hoodie with capthis hoodie offers a soft feel, relaxed fit, and everyday comfort suitable for outdoor movement, casual outfits, and light seasonal layering. it combines a sporty look with practical warmth for daily wear.easy to pair with joggers, jeans, or sneakers for a modern casual style.",under armour hoodie with cap,shop under armour hoodie with cap for sporty comfort and everyday casual layering.,2024-03-20 06:53:16
18,selons casual jacket,Selons,Fashion,Vest & Blazer,selons-casual-jacket,uploads/2026-03-09_1773065582_69aed56e79c72_selons casual jacket.jpg,70,sel-fas-jck-001,55,49,2026-03-02,2026-03-20,featured,1,1,"casual jacketlightweight jacket made for daily wear, easy layering, and clean modern styling.","selons casual jacketthis jacket is designed for versatile everyday use with a simple structure and comfortable fit. it works well for casual outings, travel, and light layering during cooler mornings or evenings.a practical fashion piece for customers who want easy styling and all day comfort.",selons casual jacket,shop selons casual jacket with lightweight comfort and easy everyday styling.,2024-03-20 06:57:43
