id,name,brand_name,category_name,sub_category_name,slug,thumb_image,qty,sku,price,offer_price,offer_start_price,offer_end_price,product_type,status,is_approved,short_description,long_description,seo_title,seo_description,created_at
5,"Nestle Ready Meal Bento Box",Nestle,"Grocery & Food","Instant Food",nestle-ready-meal-bento-box,uploads/2026-03-09_1773056017_69aeb0119a74a_nestle-ready-meal-bento-box.jpeg,120,NES-GRO-BENTO-001,7,6,2026-03-01,2026-03-18,top,1,1,"<b>Instant Food</b><p>Convenient ready meal with balanced flavor and quick preparation for busy days.</p>","<b>Nestle Ready Meal Bento Box</b><p>This ready-to-eat meal offers a practical food option for lunch breaks, travel, and quick home dining. It is easy to prepare and designed for convenience without sacrificing taste.</p><p>Ideal for students, office workers, and customers looking for a fast and satisfying meal solution.</p>","Nestle Ready Meal Bento Box","Shop Nestle Ready Meal Bento Box for a quick and convenient instant food option.","2024-03-13 11:46:12"
6,"Nike Summer Cotton T-Shirt",Nike,Fashion,T-shirt,nike-summer-cotton-t-shirt,"uploads/2026-03-09_1773057158_69aeb486e0a5d_nike summer cotton t-shirt-2.jpg",120,NIK-FAS-TSH-001,25,20,2026-03-02,2026-03-20,featured,1,1,"<b>Summer T-Shirt</b><p>Breathable cotton t-shirt made for casual daily wear and warm weather comfort.</p>","<b>Nike Summer Cotton T-Shirt</b><p>This lightweight cotton t-shirt features a soft texture, clean everyday design, and comfortable regular fit. It is suitable for daily outfits, weekend activities, and casual streetwear styling.</p><p>Easy to pair with jeans, shorts, and sneakers for a relaxed modern look.</p>","Nike Summer Cotton T-Shirt","Shop Nike Summer Cotton T-Shirt with breathable fabric and casual everyday comfort.","2024-03-16 09:34:13"
7,"Selons Knit Sweater",Selons,Fashion,"Hoodie & Sweater",selons-knit-sweater,"uploads/2026-03-09_1773057566_69aeb61e8c1db_selons knit sweater.jpg",90,SEL-FAS-SWT-001,35,29,2026-03-01,2026-03-19,new_arrival,1,1,"<b>Knit Sweater</b><p>Soft knit sweater designed for comfort, layering, and everyday cold weather style.</p>","<b>Selons Knit Sweater</b><p>This sweater is made for comfortable seasonal wear with a warm fabric feel and simple versatile design. It works well for casual outfits, daily commuting, and layered styling during cooler days.</p><p>Pair it with jeans, trousers, or sneakers for a clean relaxed look.</p>","Selons Knit Sweater","Shop Selons Knit Sweater with soft fabric and comfortable everyday fit.","2024-03-16 09:37:00"
9,"Samsung Galaxy Tab S9 5G",Samsung,"Mobile Phones",Tablet,samsung-galaxy-tab-s9-5g,"uploads/2026-03-09_1773057876_69aeb754dc20d_samsung galaxy tab s9 5g.webp",35,SAM-MOB-TABS9-001,699,649,2026-03-01,2026-03-18,top,1,1,"<b>Tablet</b><p>High performance tablet designed for entertainment, study, and productivity on the go.</p>","<b>Samsung Galaxy Tab S9 5G</b><p>This tablet combines strong everyday performance with a portable design suitable for media viewing, note taking, work tasks, and online learning. It offers a large display, stable connectivity, and smooth user experience.</p><p>Ideal for users who want a flexible device between a smartphone and a laptop.</p>","Samsung Galaxy Tab S9 5G","Shop Samsung Galaxy Tab S9 5G for entertainment, study, and portable productivity.","2024-03-16 09:43:13"
10,"Xiaomi Y68 Smart Watch",Xiaomi,Electronics,"Smart Watch",xiaomi-y68-smart-watch,"uploads/2026-03-09_1773064221_69aed01d51bc1_xiaomi y68 smart watch.jpg",70,XIA-ELE-SMW-001,39,34,2026-03-01,2026-03-20,featured,1,1,"<b>Smart Watch</b><p>Affordable smart watch with fitness tracking, notifications, and lightweight daily comfort.</p>","<b>Xiaomi Y68 Smart Watch</b><p>This smart watch is designed for users who want essential health tracking, message alerts, and everyday wearable convenience. It offers a compact design suitable for casual use, basic activity monitoring, and daily routine support.</p><p>A practical option for customers looking for entry level smart wearable features at a friendly price.</p>","Xiaomi Y68 Smart Watch","Shop Xiaomi Y68 Smart Watch with fitness tracking and smart daily notifications.","2024-03-16 09:45:28"
11,"Sony Nintendo Switch Gaming Console",Sony,Electronics,"Gaming console",sony-nintendo-switch-gaming-console,"uploads/2026-03-09_1773064333_69aed08d72432_sony nintendo switch gaming console.jpg",30,SON-ELE-CON-001,299,279,2026-03-01,2026-03-15,best,1,1,"<b>Gaming Console</b><p>Portable gaming console built for entertainment, multiplayer fun, and smooth casual gameplay.</p>","<b>Sony Nintendo Switch Gaming Console</b><p>This gaming console is designed for flexible home and portable entertainment. It supports enjoyable gameplay, responsive controls, and a comfortable experience for casual and family gaming sessions.</p><p>A great option for players looking for convenient gaming performance and accessible entertainment features.</p>","Sony Nintendo Switch Gaming Console","Shop Sony Nintendo Switch Gaming Console for portable entertainment and smooth gameplay.","2024-03-16 09:49:54"
12,"Asus Mechanical Gaming Keyboard",Asus,"Computers & Laptops",Keyboard,asus-mechanical-gaming-keyboard,"uploads/2026-03-09_1773064577_69aed1813600b_asus mechanical gaming keyboard.jpg",65,ASU-CMP-KEY-001,89,79,2026-03-02,2026-03-20,featured,1,1,"<b>Gaming Keyboard</b><p>Responsive mechanical keyboard designed for gaming accuracy and comfortable typing.</p>","<b>Asus Mechanical Gaming Keyboard</b><p>This keyboard offers responsive key feel, stable performance, and a layout suitable for gaming sessions, office use, and everyday computer work. It provides comfortable input and dependable control for a smooth user experience.</p><p>Recommended for players and users who want accuracy, durability, and functional desktop performance.</p>","Asus Mechanical Gaming Keyboard","Shop Asus Mechanical Gaming Keyboard with responsive keys and smooth desktop performance.","2024-03-16 09:52:17"
13,"Asus Precision Gaming Mouse",Asus,"Computers & Laptops",Mouse,asus-precision-gaming-mouse,"uploads/2026-03-09_1773064704_69aed20055243_asus precision gaming mouse.webp",80,ASU-CMP-MSE-001,49,42,2026-03-02,2026-03-18,top,1,1,"<b>Gaming Mouse</b><p>High precision gaming mouse with smooth tracking and comfortable ergonomic grip.</p>","<b>Asus Precision Gaming Mouse</b><p>This gaming mouse is built for accurate movement, smooth cursor control, and everyday comfort during long sessions. It supports work, browsing, and gaming with a balanced ergonomic shape and dependable response.</p><p>A practical accessory for users who want performance and comfort in one desktop device.</p>","Asus Precision Gaming Mouse","Shop Asus Precision Gaming Mouse with smooth tracking and comfortable ergonomic design.","2024-03-16 09:55:17"
17,"Under Armour Hoodie With Cap","Under Armour",Fashion,"Hoodie & Sweater",under-armour-hoodie-with-cap,"uploads/2026-03-09_1773065490_69aed5126c1fc_under armour hoodie with cap.jpg",85,UAR-FAS-HOD-001,42,36,2026-03-01,2026-03-20,top,1,1,"<b>Hoodie</b><p>Comfortable hoodie with cap design for casual wear, layering, and cool weather comfort.</p>","<b>Under Armour Hoodie With Cap</b><p>This hoodie offers a soft feel, relaxed fit, and everyday comfort suitable for outdoor movement, casual outfits, and light seasonal layering. It combines a sporty look with practical warmth for daily wear.</p><p>Easy to pair with joggers, jeans, or sneakers for a modern casual style.</p>","Under Armour Hoodie With Cap","Shop Under Armour Hoodie With Cap for sporty comfort and everyday casual layering.","2024-03-20 06:53:16"
18,"Selons Casual Jacket",Selons,Fashion,"Vest & Blazer",selons-casual-jacket,"uploads/2026-03-09_1773065582_69aed56e79c72_selons casual jacket.jpg",70,SEL-FAS-JCK-001,55,49,2026-03-02,2026-03-20,featured,1,1,"<b>Casual Jacket</b><p>Lightweight jacket made for daily wear, easy layering, and clean modern styling.</p>","<b>Selons Casual Jacket</b><p>This jacket is designed for versatile everyday use with a simple structure and comfortable fit. It works well for casual outings, travel, and light layering during cooler mornings or evenings.</p><p>A practical fashion piece for customers who want easy styling and all day comfort.</p>","Selons Casual Jacket","Shop Selons Casual Jacket with lightweight comfort and easy everyday styling.","2024-03-20 06:57:43"
19,"Selons Classic Blue Jeans",Selons,Fashion,Jean,selons-classic-blue-jeans,"uploads/2026-03-09_1773065684_69aed5d400872_selons classic blue jeans.webp",95,SEL-FAS-JEA-001,48,42,2026-03-01,2026-03-19,top,1,1,"<b>Blue Jeans</b><p>Classic fit jeans designed for daily comfort, casual style, and versatile wear.</p>","<b>Selons Classic Blue Jeans</b><p>These jeans feature a timeless everyday look with balanced comfort and simple styling. They are suitable for work, travel, and casual daily outfits, making them a reliable wardrobe essential.</p><p>Easy to combine with t-shirts, sweaters, jackets, and sneakers for a clean casual appearance.</p>","Selons Classic Blue Jeans","Shop Selons Classic Blue Jeans for casual comfort and timeless everyday style.","2024-03-20 07:00:34"
20,"Selons Baggy Trousers",Selons,Fashion,Trouser,selons-baggy-trousers,"uploads/2026-03-09_1773065869_69aed68d25b2b_selons baggy trousers.webp",90,SEL-FAS-TRS-001,38,33,2026-03-01,2026-03-18,featured,1,1,"<b>Baggy Trousers</b><p>Relaxed fit trousers created for comfort, movement, and casual everyday styling.</p>","<b>Selons Baggy Trousers</b><p>These trousers offer a loose comfortable fit and easy casual styling for daily outfits. They are suitable for users who prefer breathable movement, relaxed silhouettes, and practical wear throughout the day.</p><p>A flexible option for pairing with t-shirts, hoodies, and casual sneakers.</p>","Selons Baggy Trousers","Shop Selons Baggy Trousers with relaxed fit and comfortable everyday wear.","2024-03-20 07:03:26"
21,"Selons Cotton Shorts",Selons,Fashion,Trouser,selons-cotton-shorts,"uploads/2026-03-09_1773066059_69aed74bf220c_selons cotton shorts.jpeg",85,SEL-FAS-SHO-001,24,20,2026-03-01,2026-03-17,new_arrival,1,1,"<b>Cotton Shorts</b><p>Comfortable casual shorts designed for daily wear, warm weather, and easy movement.</p>","<b>Selons Cotton Shorts</b><p>These shorts provide lightweight comfort and a clean casual look suitable for daily activities, travel, and relaxed weekend outfits. They are made for breathable wear and simple styling during warmer days.</p><p>A useful wardrobe option for users who want comfort and flexibility in casual fashion.</p>","Selons Cotton Shorts","Shop Selons Cotton Shorts with lightweight comfort and casual warm weather style.","2024-03-25 04:19:08"
